1,25,25,ペルシア戦争,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1
1,1,1,1,1,1,1,1,3,2,2,7,1,1,1,7,7,7,7,7,1,1,1,7,7
1,1,1,1,1,1,1,1,3,2,7,7,1,1,1,7,7,7,7,1,1,1,7,7,1
1,1,1,1,1,1,1,1,3,2,7,7,7,7,7,7,7,7,7,1,7,7,7,1,1
1,1,1,1,1,1,1,1,2,2,3,7,7,7,7,7,7,7,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,2,1,3,7,7,7,7,7,7,7,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,2,1,3,3,7,7,7,7,7,7,7,7,7,1,1,1,1
1,1,1,1,1,1,1,1,2,6,6,3,7,7,7,7,7,1,1,7,7,1,1,1,1
1,1,1,1,1,1,1,1,2,6,1,3,7,7,7,7,7,7,1,7,1,1,1,1,1
1,1,1,1,1,1,2,2,2,6,6,6,7,7,7,7,7,7,7,7,1,1,1,1,1
1,1,1,1,1,1,2,6,6,6,1,1,7,7,7,7,7,7,7,7,1,1,1,1,1
1,1,1,1,1,1,2,2,2,6,6,1,1,7,7,7,7,7,7,7,7,1,1,1,1
1,1,1,1,1,1,1,1,2,2,6,6,1,7,7,7,7,7,7,1,1,1,1,1,1
7,7,1,1,1,1,1,1,1,2,2,6,1,1,7,7,7,7,7,1,1,1,1,1,1
7,7,7,1,1,1,1,1,1,1,2,1,1,1,7,7,7,7,7,1,1,1,1,1,1
1,7,7,7,7,7,7,1,1,1,2,2,6,1,1,7,7,7,7,1,1,1,1,1,1
1,1,7,7,7,7,7,1,1,1,1,2,6,1,1,7,7,7,7,7,1,1,1,1,1
1,1,1,1,1,7,1,1,1,1,1,2,7,7,1,7,7,7,7,7,1,1,1,1,1
1,1,1,1,1,1,1,1,7,7,1,1,7,7,1,7,7,7,7,7,7,1,1,1,1
1,1,1,1,1,1,1,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,1,1,1
1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1
1,1,1,1,1,7,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
#oinit,O17,P17,Q17,R17,S17,O18,P18,Q18,R18,S18,,,,,,,,,,,,,,
oinit,389,390,391,392,393,414,415,416,417,418,,,,,,,,,,,,,,
#dinit,F8,G8,H8,I8,J8,F9,G9,H9,I9,J9,,,,,,,,,,,,,,
dinit,155,156,157,158,159,180,181,182,183,184,,,,,,,,,,,,,,
#base,E4,E5,,,,,,,,,,,,,,,,,,,,,,
base,54,79,,,,,,,,,,,,,,,,,,,,,,
